title;subtitle;difficulty;time_ascent;ascent;time_descent;descent;link;map;description
Vom Turrahus;Wisshorn (GR, Safien) 2987 m;T4;4–5 h; 1450 m;3–4 h; 1450 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/wisshorn-gr-safien-2237/mountain-hiking/vom-turrahus-4398/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/wisshorn-gr-safien-2237/berg-und-alpinwandern/vom-turrahus-4398/;Von Turrahus am Ausgleichsbecken vorbei bis zu Pliggamad. Auf weiss-rot-weiss markierten Wegspuren über eine Grasrampe ostwärts hinauf bis zum obersten Stafel, dann steile Grasschrofen traversierend südwärts zum Höllgraben, durch den Wegspuren hinaufführen zur Alperschällilücke.
Vom Obersee über Geisskappel und den Rautispitz;Wiggis 2282 m;T4;4–5 h; 1370 m;2–3 h; 1370 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/wiggis-2213/mountain-hiking/vom-obersee-ueber-geisskappel-und-den-rautispitz-5353/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/wiggis-2213/berg-und-alpinwandern/vom-obersee-ueber-geisskappel-und-den-rautispitz-5353/;"Vom Obersee auf gutem Wanderweg zur Grapplialp. Beim Wegweiser P. 1358 links (nach Süden) abzweigen, die markierte Route führt geschickt zwischen Felsbändern hinauf zum Rautispitz-Westgrat. Dieser wird auf etwa 2000 m erreicht; der Bergwanderweg führt dann teils luftig dem Westgrat folgend zum Gipfelkreuz des Rautispitzes. Abstieg über den sanften Rücken zum Sattel zwischen Wiggis und Rautispitz P. 2166."
Von Gigerwald;Zanaihorn 2820 m;T5;4–5 h; 1650 m;2–2 h; 1650 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/zanaihorn-2253/mountain-hiking/von-gigerwald-4440/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/zanaihorn-2253/berg-und-alpinwandern/von-gigerwald-4440/;Vom Berggasthaus Gigerwald zur Haarnadelkurve P. 1282. Die ersten rund 300 Höhenmeter verlaufen neu auf einem Fahrweg, der 2021 mit grossem Aufwand erbaut wurde (der ursprüngliche Alpweg kann nicht mehr begangen werden). Weiter auf dem Alpinwanderweg bis Tersol Säss, P. 2002.
Vom Klöntalersee über Lochstafel (Normal route);Dejenstogg / Dejenstock 2021 m;T4+;3–4 h; 1350 m;2–3 h; 1150 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/dejenstogg-dejenstock-6285/mountain-hiking/vom-kloentalersee-ueber-lochstafel-4435/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/dejenstogg-dejenstock-6285/berg-und-alpinwandern/vom-kloentalersee-ueber-lochstafel-4435/;Von der Staumauer des Klöntalersees einen knappen Kilometer der Seestrasse nach Westen folgen, bis rechts der markierte Wanderweg über die Alpen Herberig zur Dejenalp abzweigt. Nun über Alpweiden, durch Fichten- und Mischwald zur Alp Lochstafel und weiter zum Sattel bei den Schiterböden ca. P. 1740 m.
Von der Mettmenalp über den Südgrat;Gandstock 2314 m;T4;2:30 h; 750 m;1:30 h; 750 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/gandstock-744/mountain-hiking/von-der-mettmenalp-ueber-den-suedgrat-4436/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/gandstock-744/berg-und-alpinwandern/von-der-mettmenalp-ueber-den-suedgrat-4436/;Von der Bergstation der Seilbahn zur Staumauer Garichti, am östlichen Seeende über diese hinweg, dem See entlang und bei P. 1625 in Richtung Klettergarten Widerstein aufsteigen. Auf weiss-rot markiertem Bergweg an den Kletterblöcken vorbei zum Berglimattsee bei der Vorderen Gandfurggele.
Round trip from Mürtschental;Hochmättli 2251 m;T4+;3–4 h; 1200 m;3:30 h; 1200 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/hochmaettli-6191/mountain-hiking/round-trip-from-muertschental-4438/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/hochmaettli-6191/berg-und-alpinwandern/rundtour-aus-dem-muertschental-4438/;From the parking-lot or the bus station behind the small artificial lake in Murgtal follow the rustling Gsponbach. Traverse a plain and overcome a step to Unter Mürtschen, where you leave the marked trail. First ascend south-westward on cattle tracks, then continue to ascend on the right-hand side (N) of a little valley, until close to P. 1601 the path turns eastward. Now ascend several steps past old silver mines to reach the Tschermannen alp.
Überschreitung Aroser Rothorn - Erhzorn - Arosa;Erzhorn 2924 m;T5;1:30–2 h; 450 m;3 h; 1550 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/erzhorn-575/mountain-hiking/ueberschreitung-aroser-rothorn-erhzorn-arosa-4391/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/erzhorn-575/berg-und-alpinwandern/ueberschreitung-aroser-rothorn-erhzorn-arosa-4391/;Von der Bergstation auf gutem Pfad in wenigen Miunten südlich unter dem Hauiptgipfel P. 2896 des Parpaner Rothorns queren. Eine den Aufschwüngen geschickt ausweichende Wegspur entlang einzelner roter Punkte führt aufs Aroser Rothorn (T4), dieses überschreiten und auf gutem Pfad zum Erzhornsattel absteigen (T3+). Erst noch einfach, dann steil etwas links (nördlich) des Westgrates hinauf zum Erzhorn, einige Steinmänner bestätigen die leichteste Routenführung – man darf sich nur nicht zu sehr in die geröllübersäten Flanken abdrängen lassen! Bevor man den Vorgipfel erreicht, wieder näher der Gratkante, denselben umgeht man etwas in der Südflanke (T5, I). Der Schlussaufstieg zum Gipfel ist wieder leichter.
Überschreitung Tristelhorn - Piz Sax;Tristelhorn / Piz da Sterls 3114 m;T5+;4–5 h; 1850 m;4–4:30 h; 1850 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/tristelhorn-piz-da-sterls-2031/mountain-hiking/ueberschreitung-tristelhorn-piz-sax-4400/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/tristelhorn-piz-da-sterls-2031/berg-und-alpinwandern/ueberschreitung-tristelhorn-piz-sax-4400/;Von Bargis auf dem markierten Bergweg zur Alp Lavadignas Miez P. 2003. Dort auf dem Alpweg nach Mirutta.
Von Vals;Piz Aul 3121 m;T5;5 h; 1550 m;4 h; 1550 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/piz-aul-107/mountain-hiking/von-vals-4397/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/piz-aul-107/berg-und-alpinwandern/von-vals-4397/;Von Gadastatt auf Wanderweg nach Stafelti. Über Weideland hinauf zur Leisalp und zu der obersten Lawinenverbauung nahe P. 2464.
Überschreitung Morchopf - Crap Mats von Bargis nach Trin;Crap Mats 2946 m;T5;4–5 h; 1700 m;3–4 h; 2300 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/crap-mats-450/mountain-hiking/ueberschreitung-morchopf-crap-mats-von-bargis-nach-trin-4401/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/crap-mats-450/berg-und-alpinwandern/ueberschreitung-morchopf-crap-mats-von-bargis-nach-trin-4401/;"Von Bargis dem Bergweg Richtung Alp Mora folgen, ausserhalb der Alpsaison eine gute Viertelstunde sparend direkt von Lavadignas Sut nordwärts nach Lavadignas Miez. Dem zuweilen steinschlägigen Weg am Schäferhüttchen auf ca. 2100 vorbei bis zum höchsten Punkt des Rückens ""Plaunca Dira"" ca. 2150 m folgen."
Les Planeys – Plan de Tissiniva – Dent de Brenleire;Dent de la Brenleire 2353 m;T5;4 h; 1440 m;2:45 h; 1440 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/dent-de-la-brenleire-232/mountain-hiking/les-planeys-plan-de-tissiniva-dent-de-brenleire-1982/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/dent-de-brenleire-232/berg-und-alpinwandern/les-planeys-plan-de-tissiniva-dent-de-brenleire-1982/;Von Les Planeys (1053 m, Parkplatz) auf dem alten Ziehweg (bis P. 1193 nicht markiert) über einen leichten Rücken nach Pâquier à Chevaux und von dort weiter auf einem Fahrweg zur Grande Oudèche. Die weit ausholende Kehre des Fahrwegs lässt sich auf einen Pfad durch den Bachtobel abkürzen (nicht auf der LK). An der Petite Oudèche zweigt links ein Ziehweg in einen kleinen Talkessel ab. Zunächst zwischen Geröll und Waldrand entlang, dann in einer langen ansteigenden Querung durch den Wald und weiter über Wiesen nach erreicht man Les Noires Joux. Nun weiter aussichtsreich auf einem Pfad entlang des Bergrückens über die Gipfel P. 1885 ohne und P. 1883 mit Kreuz zur Alp Plan de Tissiniva (1871 m). Der markierte Weg folgt ab hier dem Fahrweg hinab ins den Col de Tissiniva (1750 m). Schöner ist es, die Kuppe P. 1880 zu überschreiten und weglos über den zuletzt etwas felsigen Rücken abzusteigen.
From Sufers via Glattenberg or Lai da Vons (Normal route);Cufercalhütte SAC 2385 m;T2;2:45 h; 970 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/cufercalhuette-sac-2147000070/mountain-hiking/from-sufers-via-glattenberg-or-lai-da-vons-192/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/cufercalhuette-sac-2147000070/berg-und-alpinwandern/von-sufers-ueber-glattenberg-oder-lai-da-vons-192/;From Sufers (1428 m) follow signs steeply up to Glattenberg (2001 m) and on, slightly less steep to P. 2270. From there head shortly north towards a flattening (Versais), then west directly to the hut.
Von Andeer über Pastgaglias (Normal route);Cufercalhütte SAC 2385 m;T2;4:30 h; 1410 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/cufercalhuette-sac-2147000070/mountain-hiking/von-andeer-ueber-pastgaglias-193/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/cufercalhuette-sac-2147000070/berg-und-alpinwandern/von-andeer-ueber-pastgaglias-193/;Von Andeer (982 m) führt eine Wald- und Alpstrasse in weiten Kehren über Pastgaglias (1845 m) zum Weidegelände am Fuss des Piz Vizan. Das alte Alpsträsschen ist als Bergweg markiert. Wenig vor P. 2047 zweigt vom Strässchen gegen Südwesten ein Alpweg ab, der über den Abhang unter dem Tschainghel Mellen (2372 m) ansteigt und zur Hütte führt.
Von Sufers;Cufercalhütte SAC 2385 m;F;2:30 h; 960 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/cufercalhuette-sac-2147000070/ski-touring/von-sufers-3310/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/cufercalhuette-sac-2147000070/skitouren/von-sufers-3310/;Von Sufers (1427 m) nach N dem Strässchen nach oder kürzer, aber steiler auf dem Sommerweg bis Foppa. Bei der Strassenverzweigung auf ca. 1870 m verlässt man das Strässchen und steigt westlich von P. 2017 zum Gruobli (P. 2101). Hier wendet man sich nach W, später nach NW über die weiten Hänge von Versais zur Hütte.
na;na;na;na;na;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/cufercalhuette-sac-2147000070/snowshoeing/von-sufers-5199/;;na
Aus dem Murgtal über den Nordgrat;Bützistock (SG/GL) 2495 m;T5+;4–5 h; 1400 m;2–3 h; 1400 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/buetzistock-sg-gl-6084/mountain-hiking/aus-dem-murgtal-ueber-den-nordgrat-4437/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/buetzistock-sg-gl-6084/berg-und-alpinwandern/aus-dem-murgtal-ueber-den-nordgrat-4437/;Vom Parkplatz auf dem Fahrsträsschen bis Mornen, bei der Materialseilbahn links auf den Alpweg, steil bis zur Alp Erdis. Weiter auf dem markierten Bergweg rechts (westlich) abzweigend zur Seenplatte der Chammseeli. Kurz vor P. 2234 wird der Wanderweg hinauf auf den Nordgrat zum Rottor verlassen.
Von St. Martin über den Westgrat (Normal route);Sazmartinshorn 2826 m;T5;4–5 h; 1500 m;2–3 h; 1500 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/sazmartinshorn-1664/mountain-hiking/von-st-martin-ueber-den-westgrat-4439/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/sazmartinshorn-1664/berg-und-alpinwandern/von-st-martin-ueber-den-westgrat-4439/;Von St. Martin rechts (östlich) des Tellerbaches auf dem Alpweg durch den Chilchliwald zum Heuberg P. 1693. Nun über Stöfeli östlich ausholend zur Alp Säss (ca. 1880 m).
Von Macugnaga per Seilbahn oder ab Mattmark (Normal route);Rifugio Oberto Maroli 2782 m;T2;na;na;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/rifugio-oberto-maroli-2147437508/mountain-hiking/von-macugnaga-per-seilbahn-oder-ab-mattmark-5060/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/rifugio-oberto-maroli-2147437508/berg-und-alpinwandern/von-macugnaga-per-seilbahn-oder-ab-mattmark-5060/;Von der Bergstation leicht absteigend in wenigen Minuten zum Rifugio.
Von der Bergstation Diavolezza;Berghaus Diavolezza 2978 m;T1;na;na;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/berghaus-diavolezza-2147000077/mountain-hiking/von-der-bergstation-diavolezza-5019/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/berghaus-diavolezza-2147000077/berg-und-alpinwandern/von-der-bergstation-diavolezza-5019/;Bei jedem Wetter trocken und begehbar!
Von Luss;Baita del Luca 1064 m;T1;1:15 h; 420 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/baita-del-luca-2147443913/mountain-hiking/von-luss-4909/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/baita-del-luca-2147443913/berg-und-alpinwandern/von-luss-4909/;Von Luss auf einer Nebenstrasse nordostwärts hinauf, kurz vor der ersten Kehre geradeaus und oberhalb von Pairago zu P. 689. Hier auf einem Fahrweg nach rechts, später erneut nach rechts und in einigen Schlaufen auf dem schmalen, steilen Strässchen durch dichten Wald via Loasana nach Cioascio.
Vom Rosone (Normal route);Baita del Luca 1064 m;T3-;1 h; 260 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/baita-del-luca-2147443913/mountain-hiking/vom-rosone-4905/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/baita-del-luca-2147443913/berg-und-alpinwandern/vom-rosone-4905/;Von der Postauto-Haltestelle auf dem Strässchen zum Weiler Rosone, bei einer Verzweigung die obere Strasse wählen und zum Tälchen bei P. 889. Dort nach rechts und durch den Wald, an einer Barriere vorbei, bis zum Ende des Fahrsträsschens. An einem Wasserreservoir vorbei in ein Tälchen hinein, über eine Holzbrücke und einen steilen, teilweise erdigen Pfad hinauf (Fixseil, bei Schnee heikel). Nach einer Weile mündet der nicht immer deutliche Weg in die schöne Lichtung von Cioascio. Die Baita del Luca ist der südöstlichste Hausteil der oberen Häuserzeile.
Überschreitung Jolital - Bietschtal;Schwarzhorn (Bietschtal / Jolital) 2661 m;T4;4:30–5 h; 1610 m;4 h; 2050 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/schwarzhorn-bietschtal-jolital-1742/mountain-hiking/ueberschreitung-jolital-bietschtal-2199/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/schwarzhorn-bietschtal-jolital-1742/berg-und-alpinwandern/ueberschreitung-jolital-bietschtal-2199/;Von Hohtenn (1077 m) folgt man der Strasse bis zur Bahnunterführung, unterquert die Geleise und folgt dem Bergweg zur Alp Tatz und weiter zur Haarnadelkurve bei. P. 1640. von hier gelangt man über den breiten Weg zur Alp Joli und danach über den Bergweg nach Prag. Nun wendet man sich nach Norden und steigt durch den lichten Lärchenwald und über Felsschrofen zur Seileggu. Diese umgeht man östlich und erreicht eine Senke. Danach führt der Weg steiler bis auf eine Verflachung auf ca. 2450 m, wo er sich verliert.
Albeuve – Vanil de l'Arche – Vanil Blanc;Vanil Blanc (FR) 1827 m;T4;3 h; 1090 m;2 h; 1090 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/vanil-blanc-fr-2125/mountain-hiking/albeuve-vanil-de-larche-vanil-blanc-4417/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/vanil-blanc-fr-2125/berg-und-alpinwandern/albeuve-vanil-de-larche-vanil-blanc-4417/;Von Albeuve auf markiertem Weg in die Gorges de l‘Evi bis zu einem Steg über einen Bachlauf. Hier links und auf unmarkierten Wegen nach Sex d’en Bas (ca. 1051 m). Auf einem Fahrweg weiter über Sex d’Amont – oder nach einer verfallenen Steinmauer noch vor Sex du Milieu abkürzend – auf den Ziehweg nach L’Ombriau d’En Bas (1344 m). Über die S-Flanke zum grossen weissem Kreuz auf dem östlichen Ausläufer des Vanil de l'Arche.
From Sufers via the North East flank (Normal route);Teurihorn 2973 m;T5;4–5 h; 1580 m;2–3 h; 1580 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/teurihorn-1962/mountain-hiking/from-sufers-via-the-north-east-flank-2435/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/teurihorn-1962/berg-und-alpinwandern/von-sufers-ueber-die-nordostflanke-2435/;"From Sufers, take the varied alpine hiking path towards Alperschälilückä (pass) via Under Steila and Steileralp to the ""Bödä"" just before P. 2321."
Spazzacaldeira Hauptgipfel über den Normalweg (Normal route);La Fiamma 2487 m;T5;1:30 h; 400 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/la-fiamma-2020/mountain-hiking/spazzacaldeira-hauptgipfel-ueber-den-normalweg-2226/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/la-fiamma-il-dente-spazzacaldeira-2020/berg-und-alpinwandern/spazzacaldeira-hauptgipfel-ueber-den-normalweg-2226/;Ab der Seilbahn entweder der betonierten, ehemaligen Baustrasse folgend zum Westende der Staumauer oder auf der markierten Abkürzung hoch. Hier steht der Steinbau des EWZ Wärterhauses.
Von Raron;Bietschihütte 1458 m;T2;3 h; 890 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/bietschihuette-2147442514/mountain-hiking/von-raron-4614/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/bietschihuette-2147442514/berg-und-alpinwandern/von-raron-4614/;Vom Bahnhof Raron (639 m) geht man zuerst in nördlicher Richtung durch das ganze Dorf bis zu einer Brücke, die über den Bietschbach führt. Nach der Brücke steigt der Weg über Fromatten zur Rarnerkumme und weiter über Ritzubode ins Bietschtal hinein. Man benutzt den Weg oberhalb der Bietschtalbrücke auf der westlichen Talseite und steigt über Eschji weiter ins Tal hinauf. Bei P. 1339 überquert man den Bietschbach und erreicht kurz darauf die Bietschihütte unterhalb der Brandeggi.
Von St. German;Bietschihütte 1458 m;T2;2:30 h; 730 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/bietschihuette-2147442514/mountain-hiking/von-st-german-4615/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/bietschihuette-2147442514/berg-und-alpinwandern/von-st-german-4615/;Von St. German folgt man zuerst der Fahrstrasse in nordwestlicher Richtung durch das Dorf. Danach steigt man zum Südrampenweg hinauf und erreicht diesen bei P. 947. Von hier folgt man dem Fahrweg ins Bietschtal, passiert bei P. 993 die Bietschtalbrücke und überquert den Bietschbach bei P.1024 auf einer Naturbrücke. Auf 1080 m erreicht man den von der Rarnerkumme heraufkommenden Weg und folgt diesem über Eschji und die Brücke bei P. 1339 ins Bietschi zur Hütte.
Von Bosco/Gurin (Normal route);Capanna Grossalp 1907 m;T2;1:15 h; 440 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/capanna-grossalp-2147000123/mountain-hiking/von-bosco-gurin-4158/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/capanna-grossalp-2147000123/berg-und-alpinwandern/von-bosco-gurin-4158/;Von der Postauto-Haltestelle am Dorfeingang durch die verwinkelten Gassen von Bosco/Gurin (auf Italienisch Bosco, auf Deutsch Gurin) und an der Kirche vorbei zum anderen Dorfende. Auf einer Brücke über den vom Wandfluhhorn kommenden Bach, rechts an der langen Zeile der ehemaligen Gemeinschaftsställe vorbei und durch lichten Wald hinauf. Bald taucht ein Skilift auf, später der Landwirtschaftsbetrieb von Naatscha. Auf dem Wanderweg oder auf dem Strässchen zum Sommerweiler der Grossalp und zum gut sichtbaren Holzbau der gleichnamigen Capanna.
Von der Capanna Piano delle Creste zur Capanna Grossalp (VAVM 11);Capanna Grossalp 1907 m;T4+;6:30 h; 1060 m;na;na;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/capanna-grossalp-2147000123/mountain-hiking/von-der-capanna-piano-delle-creste-zur-capanna-grossalp-vavm-11-4582/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/capanna-grossalp-2147000123/berg-und-alpinwandern/von-der-capanna-piano-delle-creste-zur-capanna-grossalp-vavm-11-4582/;Von der Capanna Piano delle Creste (2108 m) zum unteren Laghetto d’Antabia (2125 m), auf Wegspuren zu P. 2215, dann über Geröll zum Fuss eines diagonal aufsteigenden Felsbands, das zur Bocchetta della Cròsa (2464 m) führt. Einige Fixseile erleichtern den Schlussaufstieg, folgen aber einer schuttigen und rutschigen Rinne, in der man leicht Steinschlag auslösen kann – bequemer geht es auf der Pfadspur knapp rechts davon, nahe an der Abbruchkante.
Brünnelistock, Rossälplispitz and Zindlenspitz;Zindlenspitz 2097 m;T5-;5 h; 1500 m;2 h; 1500 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/zindlenspitz-2260/mountain-hiking/bruennelistock-rossaelplispitz-and-zindlenspitz-4567/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/zindlenspitz-2260/berg-und-alpinwandern/bruennelistock-rossaelplispitz-und-zindlenspitz-4567/;"At P. 931 a signpost points to several possibilities. Follow it to Aberli and take the steep trail to reach Hohfläsch-Hütte (1368 m; mostly open in summer). Continue to the alp buildings at Hohfläschen and, disregarding the bifurcation at P. 1592, continue to Hohfläschenmatt (1687 m)."
Vom Lötschenpass nach Leukerbad;Gitzifurggu 2911 m;T5-;0:45–1 h; 280 m;2:30–3 h; 1580 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/gitzifurggu-4462/mountain-hiking/vom-loetschenpass-nach-leukerbad-4566/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/gitzifurggu-4462/berg-und-alpinwandern/vom-loetschenpass-nach-leukerbad-4566/;Von der Lötschenpasshütte (2689 m) folgt man den Markierungen und der teilweise hängenden Wasserleitung in westlicher Richtung zu den Resten des Ferdengletschers. Von hier steiler über Felsplatten (Markierungen, Drahtseile) und Geröll in die Einsattelung der Gitzifurggu (2911 m), ca. ¾ Std. von der Hütte.
Via della Variante;Monte Generoso 1700 m;T4+;3:30 h; 1220 m;0:15 h; 110 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/monte-generoso-7797/mountain-hiking/via-della-variante-4561/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/monte-generoso-7797/berg-und-alpinwandern/via-della-variante-4561/;Von der Kirche in Rovio auf einer schönen, gepflasterten Gasse durch den alten Dorfkern ostwärts. Anschliessend durch Reben leicht ansteigend zum Wald und auf dem alten Saumweg, einen Abzweiger nach rechts ignorierend, zu einer Haarnadelkurve auf rund 630 m. Hier geradeaus, zu einer Brücke über die Sovaglia und zur Lichtung Al Pra da Piòda. Durch steilen Wald windet sich der deutliche, weiss-rot-weiss markierte Weg nordostwärts hinauf, zieht dann oberhalb 1000 m nach rechts und erreicht die kleine Wiese von Perostabbio (in der Landeskarte Al Perustábiu).
Via Lumino;Pizzo di Claro / Visagno 2727 m;T5;2:30 h; 870 m;2:30 h; 1500 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/pizzo-di-claro-visagno-416/mountain-hiking/via-lumino-4528/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/pizzo-di-claro-visagno-416/berg-und-alpinwandern/via-lumino-4528/;Von der Capanna Brogoldone folgt man dem markierten Bergweg nordwärts über mässig steile Rasen zum Sattel P. 2182 zwischen Piz de Molinera und Pizzo di Morinere, umgeht letzteren links und erreicht den Passo di Mem (2191 m). Nun nicht nach rechts hinunter, sondern auf guten Wegspuren auf dem Grat bzw. leicht links davon nordwärts zu P. 2361.
Nord-Süd-Überschreitung;Pizzo del Prévat 2557 m;T6;1:45 h; 480 m;1 h; 480 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/pizzo-del-prevat-1453/mountain-hiking/nord-sued-ueberschreitung-4453/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/pizzo-del-prevat-1453/berg-und-alpinwandern/nord-sued-ueberschreitung-4453/;Von der Capanna Leìt könnte man auf dem markierten Bergweg zur Alpe Campolungo absteigen, bei P. 2140 nach links abdrehen und zum Pass hochsteigen. Zeitlich etwa gleich lang, aber wesentlich schöner und wilder ist es, der weiss-blau-weiss markierten Route (sie führt zur Scharte zwischen Pizzo del Prévat und Pizzo Campolungo) bis ca. 2370 m zu folgen, um dort nach rechts auf einem Pfadlein zu einer markanten Gratschulter zu traversieren. Hier befindet sich der Einstieg zum Kletterklassiker NE-Grat. Nun auf der Schattenseite kurz hinab (Einstieg zur NE-Kante) und teils weglos, teils auf Spuren (manchmal Schneefelder) über Blockfelder unter den bizarren, weissen Dolomit- und Marmoraufschlüssen zum Passo Campolungo hinüber.
Aufstieg von Norden, Abstieg nach Süden;Pizzo Barone 2864 m;T4+;4 h; 1020 m;1 h; 850 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/pizzo-barone-143/mountain-hiking/aufstieg-von-norden-abstieg-nach-sueden-4451/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/pizzo-barone-143/berg-und-alpinwandern/aufstieg-von-norden-abstieg-nach-sueden-4451/;Vom Rifugio Alpe Sponda auf dem markierten Bergwanderweg Richtung Passo di Ghiacciaione bis zu einer Ebene auf ca. 2500 m, unweit eines Seeleins P. 2524.
Aufstieg von Osten, Abstieg über die Mauer;Pizzo Bombögn 2330 m;T4;3:15 h; 1030 m;1:45 h; 1030 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/pizzo-bomboegn-207/mountain-hiking/aufstieg-von-osten-abstieg-ueber-die-mauer-4450/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/pizzo-bomboegn-207/berg-und-alpinwandern/aufstieg-von-osten-abstieg-ueber-die-mauer-4450/;Von der Kirche in Campo auf der Strasse hinauf zum Wegweiser, wo unser Bergwanderweg Richtung Pian Crosc abzweigt. Auf diesem zur Lichtung Larecc, dort nach rechts und in einer langen, ansteigenden Traverse zu den Hütten von Pian Crosc. Hier verlassen wir den prächtigen Lärchenwald und gelangen über eine Wiese zum gleichnamigen Sattel (1925 m).
Überschreitung vom Pazolastock zum Piz Tuma;Rossbodenstock (GR/UR) 2837 m;T5;2:45 h; 1100 m;2:30 h; 1100 m;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/rossbodenstock-gr-ur-1557/mountain-hiking/ueberschreitung-vom-pazolastock-zum-piz-tuma-4447/;https://www.sac-cas.ch/de/huetten-und-touren/sac-tourenportal/rossbodenstock-gr-ur-1557/berg-und-alpinwandern/ueberschreitung-vom-pazolastock-zum-piz-tuma-4447/;Vom Bahnhof auf dem Oberalppass zum Leuchtturm am südlichen Ende des Parkplatzes. Dort setzt der markierte Bergwanderweg an, der schön regelmässig ansteigend via Las Puozas (den «Bodensenken», die kleine Seen bilden) und einen breiten Rücken zum Wegweiser auf 2578 m führt, der Pazolalücke. Nun über den Grat, meist aber rechts davon im Zickzack zum Gipfel des Pazolastock.
